adduser	3.137ubuntu1
libnpp-dev-13-0	13.0.0.50-1
libnpth0t64:amd64	1.6-3.1build1
libnvfatbin-13-0	13.0.39-1
libnvfatbin-dev-13-0	13.0.39-1
libnvjitlink-13-0	13.0.39-1
libnvjitlink-dev-13-0	13.0.39-1
libnvjpeg-13-0	13.0.0.40-1
libnvjpeg-dev-13-0	13.0.0.40-1
libnvptxcompiler-13-0	13.0.48-1
libnvvm-13-0	13.0.48-1
libobjc-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libobjc4:amd64	14.2.0-4ubuntu2~24.04.1
libp11-kit0:amd64	0.25.3-4ubuntu2.1
libpackagekit-glib2-18:amd64	1.2.8-2ubuntu1.5
libpam-modules:amd64	1.5.3-5ubuntu5.4
libpam-modules-bin	1.5.3-5ubuntu5.4
libpam-runtime	1.5.3-5ubuntu5.4
libpam-systemd:amd64	255.4-1ubuntu8.17
libpam0g:amd64	1.5.3-5ubuntu5.4
libpcre2-8-0:amd64	10.42-4ubuntu2.1
libperl5.38t64:amd64	5.38.2-3.2ubuntu0.2
libpkgconf3:amd64	1.8.1-2build1
libpolkit-agent-1-0:amd64	124-2ubuntu1.24.04.3
libpolkit-gobject-1-0:amd64	124-2ubuntu1.24.04.3
libpopt0:amd64	1.19+dfsg-1build1
libproc2-0:amd64	2:4.0.4-4ubuntu3.2
libpsl5t64:amd64	0.21.2-1.1build1
libpython3-stdlib:amd64	3.12.3-0ubuntu2.1
libpython3.12-minimal:amd64	3.12.3-1ubuntu0.16
libpython3.12-stdlib:amd64	3.12.3-1ubuntu0.16
libquadmath0:amd64	14.2.0-4ubuntu2~24.04.1
librdmacm1t64:amd64	50.0-2ubuntu0.2
libreadline8t64:amd64	8.2-4build1
librhash0:amd64	1.4.3-3build1
librtmp1:amd64	2.4+20151223.gitfa8646d.1-2build7
libsasl2-2:amd64	2.1.28+dfsg1-5ubuntu3.1
libsasl2-modules-db:amd64	2.1.28+dfsg1-5ubuntu3.1
libseccomp2:amd64	2.5.5-1ubuntu3.1
libselinux1:amd64	3.5-2ubuntu2.1
libsemanage-common	3.5-1build5
libsemanage2:amd64	3.5-1build5
libsepol2:amd64	3.5-2build1
libsframe1:amd64	2.42-4ubuntu2.5
libsmartcols1:amd64	2.39.3-9ubuntu6.6
libsqlite3-0:amd64	3.45.1-1ubuntu2.4
libss2:amd64	1.47.0-2.4~exp1ubuntu4.1
libssh-4:amd64	0.10.6-2ubuntu0.5
libssl3t64:amd64	3.0.13-0ubuntu3.5
libstdc++-13-dev:amd64	13.3.0-6ubuntu2~24.04.1
libstdc++6:amd64	14.2.0-4ubuntu2~24.04.1
libstemmer0d:amd64	2.2.0-4build1
libsystemd-shared:amd64	255.4-1ubuntu8.17
libsystemd0:amd64	255.4-1ubuntu8.17
libtasn1-6:amd64	4.19.0-3ubuntu0.24.04.1
libtinfo6:amd64	6.4+20240113-1ubuntu2
libtsan2:amd64	14.2.0-4ubuntu2~24.04.1
libubsan1:amd64	14.2.0-4ubuntu2~24.04.1
libudev1:amd64	255.4-1ubuntu8.17
libunistring5:amd64	1.1-2build1.1
libunwind8:amd64	1.6.2-3build1.1
libutempter0:amd64	1.2.1-3build1
libuuid1:amd64	2.39.3-9ubuntu6.6
libuv1t64:amd64	1.48.0-1.1build1
libwrap0:amd64	7.6.q-33
libxml2:amd64	2.9.14+dfsg-1.3ubuntu3.8
libxmlb2:amd64	0.3.24-1~ubuntu0.24.04.1
libxxhash0:amd64	0.8.2-2build1
libyaml-0-2:amd64	0.2.5-1build1
libzstd1:amd64	1.5.5+dfsg2-2build1.1
linux-libc-dev:amd64	6.8.0-71.71
locales	2.39-0ubuntu8.8
login	1:4.13+dfsg1-4ubuntu3.2
logsave	1.47.0-2.4~exp1ubuntu4.1
lsb-release	12.0-2
lto-disabled-list	47
make	4.3-4.1build2
mawk	1.3.4.20240123-1build1
media-types	10.1.0
mount	2.39.3-9ubuntu6.6
ncurses-base	6.4+20240113-1ubuntu2
ncurses-bin	6.4+20240113-1ubuntu2
netbase	6.4
nsight-compute-2025.3.0	2025.3.0.19-1
openssh-client	1:9.6p1-3ubuntu13.19
openssh-server	1:9.6p1-3ubuntu13.19
openssh-sftp-server	1:9.6p1-3ubuntu13.19
openssl	3.0.13-0ubuntu3.5
packagekit	1.2.8-2ubuntu1.5
passwd	1:4.13+dfsg1-4ubuntu3.2
patch	2.7.6-7build3
perl	5.38.2-3.2ubuntu0.2
perl-base	5.38.2-3.2ubuntu0.2
perl-modules-5.38	5.38.2-3.2ubuntu0.2
pinentry-curses	1.2.1-3ubuntu5
pkg-config:amd64	1.8.1-2build1
pkgconf:amd64	1.8.1-2build1
pkgconf-bin	1.8.1-2build1
polkitd	124-2ubuntu1.24.04.3
procps	2:4.0.4-4ubuntu3.2
python-apt-common	2.7.7ubuntu5.2
python3	3.12.3-0ubuntu2.1
python3-apt	2.7.7ubuntu5.2
python3-blinker	1.7.0-1
python3-cffi-backend:amd64	1.16.0-2build1
python3-cryptography	41.0.7-4ubuntu0.4
python3-dbus	1.3.2-5build3
python3-distro	1.9.0-1
python3-gi	3.48.2-1
python3-httplib2	0.20.4-3ubuntu0.1
python3-jwt	2.7.0-1ubuntu0.1
python3-launchpadlib	1.11.0-6
python3-lazr.restfulclient	0.14.6-1
python3-lazr.uri	1.0.6-3
python3-minimal	3.12.3-0ubuntu2.1
python3-oauthlib	3.2.2-1
python3-pip	24.0+dfsg-1ubuntu1.3
python3-pip-whl	24.0+dfsg-1ubuntu1.3
python3-pkg-resources	68.1.2-2ubuntu1.2
python3-pyparsing	3.1.1-1
python3-setuptools	68.1.2-2ubuntu1.2
python3-setuptools-whl	68.1.2-2ubuntu1.2
python3-six	1.16.0-4
python3-software-properties	0.99.49.4
python3-venv	3.12.3-0ubuntu2.1
python3-wadllib	1.3.6-5
python3-wheel	0.42.0-2
python3.12	3.12.3-1ubuntu0.16
python3.12-minimal	3.12.3-1ubuntu0.16
python3.12-venv	3.12.3-1ubuntu0.16
readline-common	8.2-4build1
rpcsvc-proto	1.4.2-0ubuntu7
rsync	3.2.7-1ubuntu1.5
sed	4.9-2build1
sensible-utils	0.0.22
sgml-base	1.31
software-properties-common	0.99.49.4
strace	6.8-0ubuntu2
sudo	1.9.15p5-3ubuntu5.24.04.2
systemd	255.4-1ubuntu8.17
systemd-dev	255.4-1ubuntu8.17
systemd-sysv	255.4-1ubuntu8.17
sysvinit-utils	3.08-6ubuntu3
tar	1.35+dfsg-3build1
tmux	3.4-1ubuntu0.1
tzdata	2026c-0ubuntu0.24.04.1
ubuntu-keyring	2023.11.28.1
ucf	3.0043+nmu1
unminimize	0.2.1
util-linux	2.39.3-9ubuntu6.6
wget	1.21.4-1ubuntu4.5
xml-core	0.19
xz-utils	5.6.1+really5.4.5-1ubuntu0.2
zlib1g:amd64	1:1.3.dfsg-3.1ubuntu2.1
